element,web_name,team,pos,price,xp,sd,xmins,p_start,n_fix,fpl_ep_next,matched_prior,naive_recent6,eligible,xp_next,xp_total,p6,p10,p15
455,Tonali,TOT,MID,5.4,3.429,1.725,82.7,0.98,1,3.0,True,3.0,1,3.43;3.44;3.28;3.37;3.20;3.34,20.06,15.0,2.8,0.1
385,Trafford,LEE,GKP,5.0,3.427,1.597,79.6,0.948,1,5.0,True,5.0,0,3.43;3.38;2.83;3.25;3.70;2.91,19.5,20.3,0.0,0
372,Mac Allister,LIV,MID,5.4,3.414,2.025,80.5,0.946,1,1.7,True,1.667,1,3.41;3.07;3.34;3.13;3.37;3.70,20.02,18.1,1.7,0.3
469,N.Williams,NFO,DEF,5.0,3.412,2.238,83.6,0.993,1,5.0,True,5.0,1,3.41;3.99;3.08;3.59;3.59;3.07,20.73,22.5,2.8,0.2
253,Andersen,FUL,DEF,5.0,3.403,2.027,83.2,0.99,1,0.7,True,0.667,1,3.40;3.68;3.88;4.26;3.88;3.68,22.78,23.4,1.6,0.1
86,Lewis-Potter,BRE,MID,5.5,3.394,2.083,80.5,0.945,1,6.0,True,6.0,1,3.39;3.68;3.57;3.86;3.43;3.75,21.68,19.7,2.0,0.2
379,Isak,LIV,FWD,9.1,3.388,2.407,61.7,0.701,1,7.7,True,7.667,0,3.39;3.03;3.46;3.09;3.40;4.01,20.38,26.7,4.6,0.5
1,Raya,ARS,GKP,6.0,3.367,1.72,83.0,0.988,1,5.0,True,5.0,1,3.37;2.70;3.15;3.10;3.43;2.67,18.42,26.2,0.0,0
432,Mainoo,MUN,MID,5.5,3.357,1.693,77.9,0.904,1,4.7,True,4.667,1,3.36;3.30;3.47;3.21;3.29;3.20,19.83,14.3,2.0,0.1
295,McBurnie,HUL,FWD,5.5,3.353,2.192,81.0,0.964,1,2.7,False,2.667,1,3.35;3.39;3.50;3.40;3.48;3.32,20.44,26.2,3.8,0.4
566,Silva,BOU,DEF,5.0,3.352,2.182,78.9,0.94,1,2.3,False,2.333,1,3.35;3.43;2.78;4.02;2.92;3.47,19.97,25.6,1.9,0.2
